Index,Delta Curvature: neural,Delta Curvature: control,Distances,"Rates, correlation empirical vs predicted","Variance, correlation empirical vs predicted","Covariance, correlation empirical vs predicted",Dataset,Pixel curvature,sequence type,dither
170,1.06558218116193,64.3805599961828,0.50,0.93,0.90,0.81,ay5_u005_image_sequences,107.481,1,1
171,8.90025027916027,-7.64464147677821,1.17,0.92,0.89,0.82,ay5_u005_image_sequences,99.0342,1,1
172,-17.7628936972567,3.78346963566428,0.98,0.91,0.88,0.85,ay5_u005_image_sequences,103.6573,1,1
173,34.7750989226528,-2.03965858303935,1.37,0.92,0.90,0.85,ay5_u005_image_sequences,87.4242,1,1
174,12.2579487916457,20.9323263783480,0.68,0.91,0.86,0.82,ay5_u005_image_sequences,106.6673,1,1
175,-23.3446256299377,33.5953423917828,0.70,0.91,0.87,0.81,ay5_u005_image_sequences,106.6373,1,1
176,26.9517353245117,15.5103990365315,0.63,0.91,0.88,0.81,ay5_u005_image_sequences,83.0395,1,1
177,39.8757581166701,-4.43684183812500,1.89,0.94,0.90,0.82,ay5_u005_image_sequences,84.9083,1,1
178,17.9794092014696,-7.23882460163475,0.94,0.94,0.91,0.82,ay5_u005_image_sequences,73.4071,1,1
179,33.7976818420290,6.80026257347544,0.78,0.91,0.87,0.80,ay5_u005_image_sequences,62.1746,1,1
180,-4.08384178148540,52.3777828902277,0.74,0.94,0.89,0.82,ay5_u005_image_sequences,107.549,1,1
1,-1.88075238671766,24.7713220326253,0.7503,0.9748,0.9301,0.7968,ay2_u003_image_sequences,101.5326,1,2
2,-64.5638147179277,11.1745978894434,0.9075,0.9743,0.9427,0.8106,ay2_u003_image_sequences,105.9307,1,2
3,-8.27391769114549,30.1698442038673,0.4953,0.9615,0.9234,0.832,ay2_u003_image_sequences,93.3074,1,2
4,-60.2915278577951,30.1504604546165,0.8604,0.9677,0.929,0.7571,ay2_u003_image_sequences,104.9207,1,2
5,9.42012429803577,42.0674081481861,0.5244,0.9625,0.9156,0.7985,ay2_u003_image_sequences,104.9132,1,2
6,-4.26832031064975,62.4679053203547,0.2101,0.9628,0.9248,0.8406,ay2_u003_image_sequences,84.9883,1,2
7,-19.6282377364805,-5.02174033119139,1.8066,0.9653,0.9161,0.7797,ay2_u003_image_sequences,86.3547,1,2
8,-64.2673128243185,5.07093915250519,0.9641,0.9683,0.9234,0.7659,ay2_u003_image_sequences,72.2898,1,2
9,-17.4353089556328,78.1248960057945,0.3812,0.9654,0.9334,0.8422,ay2_u003_image_sequences,63.4753,1,2
10,-19.9977155224273,1.26788510340945,1.3827,0.9682,0.9219,0.7432,ay2_u003_image_sequences,107.481,1,2
11,-45.6150924681494,23.7470202634799,0.8748,0.9642,0.9121,0.7889,ay2_u003_image_sequences,99.0342,1,2
12,9.13581583976388,37.9094840913760,0.351,0.8611,0.8431,0.8004,ay2_u003_image_sequences,103.6573,1,2
13,-43.1763362157354,50.1139021681167,0.4513,0.9762,0.9348,0.8154,ay2_u003_image_sequences,87.4242,1,2
14,20.2824698847054,5.93708902825082,1.6219,0.9666,0.9355,0.7982,ay2_u003_image_sequences,106.6673,1,2
15,-32.7698276947823,36.2943447503050,0.6362,0.9664,0.9213,0.7863,ay2_u003_image_sequences,106.6373,1,2
16,-42.3963006653536,44.1885509038429,0.4398,0.9668,0.9328,0.8358,ay2_u003_image_sequences,83.0395,1,2
17,-13.2635365707726,-2.30437313354161,2.1452,0.9679,0.8973,0.6046,ay2_u003_image_sequences,84.9083,1,2
18,-26.6931266057363,-18.0648983622294,1.6947,0.975,0.9214,0.6907,ay2_u003_image_sequences,73.4071,1,2
19,-15.3112779825615,-5.91206198634135,0.6587,0.9658,0.9303,0.7474,ay2_u003_image_sequences,62.1746,1,2
